Date,Decade,Year,Month,Day,min,max,mean
1970-10-09 00:00:00,1970s,1970,10,9,59.0,79.0,69.0
1970-10-10 00:00:00,1970s,1970,10,10,60.0,81.0,70.5
1971-10-03 00:00:00,1970s,1971,10,3,65.0,82.0,73.5
1971-10-04 00:00:00,1970s,1971,10,4,64.0,69.0,66.5
1971-10-05 00:00:00,1970s,1971,10,5,62.0,74.0,68.0
1971-10-06 00:00:00,1970s,1971,10,6,57.0,77.0,67.0
1971-10-07 00:00:00,1970s,1971,10,7,48.0,67.0,57.5
1971-10-08 00:00:00,1970s,1971,10,8,43.0,65.0,54.0
1971-10-09 00:00:00,1970s,1971,10,9,51.0,67.0,59.0
1971-10-10 00:00:00,1970s,1971,10,10,51.0,62.0,56.5
1972-10-03 00:00:00,1970s,1972,10,3,44.0,72.0,58.0
1972-10-04 00:00:00,1970s,1972,10,4,51.0,73.0,62.0
1972-10-05 00:00:00,1970s,1972,10,5,62.0,71.0,66.5
1972-10-06 00:00:00,1970s,1972,10,6,65.0,74.0,69.5
1972-10-07 00:00:00,1970s,1972,10,7,53.0,69.0,61.0
1972-10-08 00:00:00,1970s,1972,10,8,45.0,76.0,60.5
1972-10-09 00:00:00,1970s,1972,10,9,44.0,62.0,53.0
1972-10-10 00:00:00,1970s,1972,10,10,37.0,58.0,47.5
1973-10-03 00:00:00,1970s,1973,10,3,61.0,79.0,70.0
1973-10-04 00:00:00,1970s,1973,10,4,59.0,82.0,70.5
1973-10-05 00:00:00,1970s,1973,10,5,53.0,82.0,67.5
1973-10-06 00:00:00,1970s,1973,10,6,46.0,72.0,59.0
1973-10-07 00:00:00,1970s,1973,10,7,45.0,70.0,57.5
1973-10-08 00:00:00,1970s,1973,10,8,60.0,73.0,66.5
1973-10-09 00:00:00,1970s,1973,10,9,61.0,70.0,65.5
1973-10-10 00:00:00,1970s,1973,10,10,59.0,74.0,66.5
1974-10-03 00:00:00,1970s,1974,10,3,34.0,52.0,43.0
1974-10-04 00:00:00,1970s,1974,10,4,31.0,61.0,46.0
1974-10-05 00:00:00,1970s,1974,10,5,42.0,76.0,59.0
1974-10-06 00:00:00,1970s,1974,10,6,46.0,80.0,63.0
1974-10-07 00:00:00,1970s,1974,10,7,49.0,76.0,62.5
1974-10-08 00:00:00,1970s,1974,10,8,43.0,61.0,52.0
1974-10-09 00:00:00,1970s,1974,10,9,38.0,67.0,52.5
1974-10-10 00:00:00,1970s,1974,10,10,42.0,75.0,58.5
1975-10-03 00:00:00,1970s,1975,10,3,37.0,64.0,50.5
1975-10-04 00:00:00,1970s,1975,10,4,42.0,73.0,57.5
